(0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0)
Policy: 
state -> action, value-function
0:0:1:1:0:0:1:1 -> PS, 110.20882708
0:1:1:0:1:0:0:0 -> PS, 255.205902201
1:0:1:0:0:1:0:1 -> PS, 297.182753581
0:1:1:0:0:1:0:0 -> WE, 211.237490174
1:1:0:0:0:1:0:0 -> PS, 174.222557952
0:1:0:1:1:1:0:0 -> WE, 196.869054927
0:0:0:0:1:1:1:0 -> WE, 217.975382292
0:0:0:0:1:1:1:1 -> WE, 217.975382292
1:1:1:1:1:1:0:0 -> WE, 217.975382292
0:1:1:1:0:1:1:1 -> WE, 220.283438129
1:0:0:0:1:0:0:1 -> WE, 217.975382292
0:0:0:0:0:1:1:0 -> WE, 209.486282202
1:0:0:0:1:1:1:1 -> WE, 217.975382292
1:0:1:1:1:1:0:1 -> PS, 335.523116758
1:1:0:0:1:0:0:0 -> PS, 205.103652552
0:0:1:0:1:1:0:0 -> PS, 61.308411215
1:1:1:0:1:1:0:0 -> PS, 217.975382292
0:0:1:0:1:1:1:0 -> PS, 41.8925233645
1:1:1:0:1:1:1:0 -> WE, 217.975382292
1:0:1:0:0:1:0:0 -> PS, 240.050960655
0:0:0:0:0:1:0:1 -> PS, 167.482745018
0:1:1:1:1:1:0:0 -> PS, 297.691656396
0:1:1:1:1:1:0:1 -> PS, 310.59878088
0:0:0:1:1:1:0:0 -> PS, 179.98047804
0:0:0:1:1:1:0:1 -> PS, 216.374877142
1:0:1:1:1:0:1:0 -> PS, 253.47201136
